num_of_races,race,avg_dist,K_div,multi_racial_fraction,dist_to_furthest,fraction_of_rarest
2,white,1.835792337451158,0.28799368765292693,0.1980405878236529,1.835792337451158,0.28799368765292693
2,black,1.8606262842061776,0.2874314165102209,0.19776380153738643,1.8606262842061776,0.2874314165102209
4,white,1.016568542494924,0.6857911780484061,0.6416666666666667,2.1759962195789613,0.11492617902567759
4,black,1.0194974746830585,0.6941307338923477,0.6407697790449037,2.0058023256442605,0.12822655818205017
4,red,1.0327817459305202,0.6912965226802185,0.6167832167832168,2.1281402334997144,0.11850027754049491
4,blue,1.012426406871193,0.7000479224396422,0.6475583864118896,2.068414654359496,0.12202271454154454
6,white,1.0062287753740315,0.7921209938266599,0.7531120331950207,2.627617973449518,0.04968671343230453
6,black,1.0062287753740315,0.7863547461890396,0.7492227979274612,2.577156202578452,0.05209704990355043
6,red,1.0062287753740315,0.7801862412522093,0.7588046958377801,2.653623814265907,0.0468187834738221
6,blue,1.0031143876870159,0.8069836774616704,0.7814776274713839,2.543084539004726,0.0516635657767799
6,orange,1.0031143876870159,0.7731618393734441,0.7403651115618661,2.6601182779840515,0.04836204632258654
6,green,1.0031143876870159,0.7867600395111333,0.7476538060479666,2.5113978141982702,0.05470923783895101
8,white,1.0,0.8805109023911077,0.8539325842696629,2.816119126636286,0.03376005145375855
8,black,1.0,0.8686574273171523,0.871866295264624,2.87399877142492,0.029133111891921963
8,red,1.0,0.8697583352773414,0.848314606741573,2.8246217029303993,0.035158897384802636
8,blue,1.004142135623731,0.8683657090008451,0.8598901098901099,2.8869756969727125,0.0316162210575254
8,orange,1.0,0.86268657570288,0.8393351800554016,2.8588496143565068,0.03499692858628785
8,green,1.0,0.860788626919014,0.8495212038303693,2.8251336004814203,0.03631901609904034
8,brown,1.0,0.8678304469409729,0.8308321964529332,2.738398617404404,0.03627005239865653
8,yellow,1.0,0.870753662106179,0.86,2.7766925663596917,0.038826072327835685
10,white,1.0,0.8876952172146091,0.8943661971830986,3.3780639475106455,0.018238086390260297
10,black,1.0,0.8773979739089276,0.8809106830122592,3.301443286504619,0.014037463235975822
10,red,1.0051776695296637,0.8785143386626508,0.8798586572438163,3.113409004021283,0.020822140113044004
10,blue,1.0,0.8875049977302549,0.8458844133099825,3.270186302420104,0.01567573720562851
10,orange,1.0,0.8955481659442992,0.8735042735042735,3.2681752141724174,0.0171592156836722
10,green,1.0051776695296637,0.8926459962220242,0.9027777777777778,3.2979462994640385,0.01428814563053694
10,brown,1.0051776695296637,0.8788024096528103,0.8330494037478705,3.325172825221099,0.014077213949496561
10,yellow,1.0,0.9069839030259514,0.8694885361552028,3.2137812254541003,0.0197515691836344
10,purple,1.0,0.8925513872201767,0.8732394366197183,3.277589170338112,0.016374842247124856
10,pink,1.0,0.8828872563391427,0.8721934369602763,3.2768041392819898,0.014232672213793495
